label,All,
"$0 – $20,000",23.00,
"$20,000 – $40,000",19.10,
"$40,000 – $60,000",12.50,
"$60,000 – $80,000",11.10,
"$80,000 – $100,000",7.50,
"$100,000 – $150,000",9.30,
"$150,000 – $200,000",5.70,
"$200,000 – $500,000",6.20,
"> $500,000",1.90,
