label,All,< 25,25 - 34,35 - 44,45 - 54,55 - 64,> 64,
"< $5,000",331,5,11,23,69,103,120,
"$5,000 - $9,999",4,0,0,0,3,1,0,
"$20,000 - $29,999",1,0,0,0,0,1,0,
"$30,000 - $49,999",1,0,0,0,1,0,0,
"$50,000 - $99,999",4,0,0,0,3,0,1,
"$200,000 - $499,999",4,0,0,0,0,4,0,
"> $500,000",1,0,0,0,0,0,1,
