label,All,< 25,25 - 34,35 - 44,45 - 54,55 - 64,> 64,
1996,2,0,0,0,0,1,1,
1999,2,0,0,1,1,0,0,
2000,2,0,0,0,0,2,0,
2001,3,0,0,0,0,0,3,
2002,6,0,0,0,0,4,2,
2003,6,0,0,0,1,2,3,
2004,14,0,0,0,4,4,6,
2005,15,0,0,0,1,0,14,
2006,5,0,0,0,2,0,3,
2007,13,0,0,0,0,1,11,
2008,11,0,0,1,4,1,5,
2009,39,0,1,3,8,11,16,
2010,64,0,0,0,7,24,33,
2011,70,0,0,3,12,27,28,
2012,227,0,1,28,55,62,81,
2013,256,1,5,31,51,86,82,
2014,498,0,10,52,127,173,136,
2015,356,1,12,64,119,90,70,
