label,All,< 25,25 - 34,35 - 44,45 - 54,55 - 64,> 64,
"Binding, Lapsing",3,0,0,1,0,0,2,
"Binding, Non-Lapsing",1498,5,18,66,196,410,803,
"Non-Binding",159,1,3,5,29,52,69,
"None",1,0,0,0,0,0,1,
"No Nomination",32018,104,574,2231,5868,9498,13743,
