label,All,
"< $50,000",117,
"$50,000 - $99,999",85,
"$100,000 - $149,999",102,
"$150,000 - $199,999",124,
"$200,000 - $499,999",835,
"$500,000 - $1,000,000",936,
"$1,000,000 - $2,000,000",869,
"$2,000,000 - $4,999,999",593,
"$5,000,000 - $9,999,999",138,
"> $10,000,000",42,
