label,All,
"< $50,000",6.70,
"$50,000 - $99,999",5.10,
"$100,000 - $149,999",5.40,
"$150,000 - $199,999",5.10,
"$200,000 - $499,999",24.70,
"$500,000 - $1,000,000",23.40,
"$1,000,000 - $2,000,000",17.60,
"$2,000,000 - $4,999,999",9.90,
"$5,000,000 - $9,999,999",1.80,
"> $10,000,000",0.40,
