label,All,"< $50,000","$50,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 - $499,999","$500,000 - $999,999","$1,000,000 - $1,999,999","$2,000,000 - $4,999,999","$5,000,000 - $9,999,999","> $10,000,000",
Individual Trustee,4449,1468,115,141,154,655,792,691,338,73,22,
Corporate Trustee,4309,1261,202,219,242,663,605,520,420,123,54,
