label,All,"< $50,000","$50,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 - $499,999","$500,000 - $999,999","$1,000,000 - $1,999,999","$2,000,000 - $4,999,999","$5,000,000 - $9,999,999","> $10,000,000",
Avg Aust Shares Percent,36.75,25.28,28.22,28.29,29.71,32.40,34.40,36.24,37.83,40.12,42.72,
Avg Cash Fixed Percent,35.48,59.60,56.64,56.44,53.87,43.63,39.01,36.55,32.83,29.47,25.64,
Avg Direct Prop Percent,17.46,1.78,3.52,5.23,6.93,14.38,17.03,17.36,19.01,18.73,17.52,
Avg Intl Fixed Percent,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Avg Intl Shares Percent,0.46,0.48,0.46,0.40,0.36,0.35,0.30,0.32,0.43,0.68,1.32,
Avg Listed Prop Percent,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Avg Mortgages Percent,1.13,0.11,0.16,0.29,0.33,0.60,0.88,1.10,1.22,1.55,1.88,
Avg Other Percent,8.72,12.76,11.01,9.36,8.80,8.64,8.38,8.43,8.67,9.44,10.91,
