label,All,"< $50,000","$50,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 - $499,999","$500,000 - $999,999","$1,000,000 - $1,999,999","$2,000,000 - $4,999,999","$5,000,000 - $9,999,999","> $10,000,000",
Avg Aust Shares Percent,37.52,26.43,27.52,33.29,31.48,33.58,39.29,40.55,40.93,39.11,40.10,
Avg Cash Fixed Percent,30.91,63.09,48.61,42.34,37.13,31.18,28.10,29.80,26.12,25.33,21.67,
Avg Direct Prop Percent,10.51,2.37,9.92,10.64,19.79,16.86,11.11,7.48,5.85,6.25,7.23,
Avg Intl Fixed Percent,0.56,0.00,0.00,0.00,0.28,0.39,0.49,0.78,0.78,1.09,1.23,
Avg Intl Shares Percent,4.64,1.09,0.05,3.60,2.76,3.75,5.07,5.17,5.59,8.63,4.00,
Avg Listed Prop Percent,1.74,0.02,1.32,0.16,1.44,1.58,1.70,2.10,2.06,2.69,1.13,
Avg Mortgages Percent,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.10,
Avg Other Percent,14.07,7.51,12.57,10.00,7.07,12.61,14.21,14.06,18.45,16.87,24.53,
