label,All,"< $50,000","$50,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 - $499,999","$500,000 - $999,999","$1,000,000 - $1,999,999","$2,000,000 - $4,999,999","$5,000,000 - $9,999,999","> $10,000,000",
Not Advised,2162,1236,20,25,31,204,223,207,149,46,21,
Advised,1886,808,32,27,48,284,273,206,159,35,14,
