label,All,< 25,25 - 34,35 - 44,45 - 54,55 - 64,> 64,
Female,52.80,47.20,47.20,50.87,49.90,48.36,41.37,
Male,47.20,52.80,52.80,49.13,50.20,51.64,58.63,
