label,All,< 25,25 - 34,35 - 44,45 - 54,55 - 64,> 64,
"< $5,000",4722,37,90,336,784,1105,2370,
"$5,000 - $9,999",382,2,25,56,140,115,44,
"$10,000 - $19,999",485,3,9,80,184,158,51,
"$20,000 - $29,999",695,2,6,68,259,304,56,
"$30,000 - $49,999",325,0,1,4,20,156,144,
"$50,000 - $99,999",131,0,0,2,25,67,37,
"$100,000 - $199,999",416,0,1,5,49,163,198,
"$200,000 - $499,999",156,0,0,0,12,93,51,
"$500,000 - $999,999",2,0,0,0,0,1,1,
