label,All,< 25,25 - 34,35 - 44,45 - 54,55 - 64,> 64,
"$50,000 - $99,999",1239,30,96,259,351,264,239,
"$100,000 - $149,999",405,1,4,75,150,93,82,
"$150,000 - $199,999",417,0,4,56,141,110,106,
"$200,000 - $499,999",1561,2,3,82,369,470,635,
"$500,000 - $1,000,000",1462,0,3,12,183,498,766,
"$1,000,000 - $2,000,000",976,0,4,1,84,351,536,
"$2,000,000 - $4,999,999",489,0,0,2,32,151,304,
"$5,000,000 - $9,999,999",66,1,0,0,4,16,45,
"> $10,000,000",30,0,0,0,0,4,26,
