label,All,< 25,25 - 34,35 - 44,45 - 54,55 - 64,> 64,
"< $5,000",6352,41,128,528,1340,1719,2596,
"$5,000 - $9,999",77,0,0,3,21,34,19,
"$10,000 - $19,999",101,3,2,4,19,49,24,
"$20,000 - $29,999",69,0,1,9,10,31,18,
"$30,000 - $49,999",60,0,0,1,6,30,23,
"$50,000 - $99,999",116,0,0,1,20,59,36,
"$100,000 - $199,999",147,0,0,0,22,68,57,
"$200,000 - $499,999",245,0,1,5,22,86,131,
"> $500,000",1,0,0,0,0,1,0,
